Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=2_Wax1=2.txt
Log File Name:                   LA1=2_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1122653255
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=2_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
92000	-68.372234	781	1	1	'0 0 0 0 0 Z 0 0 	D	3.222168	3.222168	3.222168	3.222168	3.222168	0.000000	3.222168	3.222168	0.250000	0.250000	0.250000	0.250000	6.193041	
93000	-66.451599	715	1	1	'0 0 0 0 0 Z 0 0 	D	0.193820	0.193820	0.193820	0.193820	0.193820	0.000000	0.193820	0.193820	0.260409	0.282930	0.206323	0.250338	0.148119	
94000	-65.317395	814	1	3	'0 0 0 0 0 Z Z Z 	D	0.262698	0.262698	0.262698	0.262698	0.262698	0.000000	0.000000	0.000000	0.365435	0.294286	0.340279	0.000000	1.112541	
95000	-64.827158	721	1	3	'0 0 0 0 0 Z Z Z 	D	0.102862	0.102862	0.102862	0.102862	0.102862	0.000000	0.000000	0.000000	0.379380	0.528281	0.092340	0.000000	4.306731	
96000	-66.327288	277	1	3	'0 0 0 0 0 Z Z Z 	D	0.495575	0.495575	0.495575	0.495575	0.495575	0.000000	0.000000	0.000000	0.360385	0.239301	0.400314	0.000000	4.364509	
97000	-67.363688	619	1	4	'0 Z 0 0 0 Z Z Z 	D	0.217941	0.000000	0.217941	0.217941	0.217941	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	8.854200	
98000	-66.650002	569	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.801950	1.801950	1.801950	1.801950	1.801950	1.801950	1.801950	0.250000	0.250000	0.250000	0.250000	1.932294	
99000	-66.952305	833	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	23.938985	23.938985	23.938985	23.938985	23.938985	23.938985	23.938985	0.250000	0.250000	0.250000	0.250000	19.894268	
100000	-66.951573	589	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.835964	2.835964	2.835964	2.835964	2.835964	2.835964	2.835964	0.250000	0.250000	0.250000	0.250000	21.800718	
101000	-66.952305	16	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	10.745935	10.745935	10.745935	10.745935	10.745935	10.745935	10.745935	0.250000	0.250000	0.250000	0.250000	29.638098	
102000	-66.952305	824	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	40.151020	40.151020	40.151020	40.151020	40.151020	40.151020	40.151020	0.250000	0.250000	0.250000	0.250000	32.062110	
103000	-66.952305	11	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	25.131566	25.131566	25.131566	25.131566	25.131566	25.131566	25.131566	0.250000	0.250000	0.250000	0.250000	27.196673	
104000	-66.952292	492	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	11.173488	11.173488	11.173488	11.173488	11.173488	11.173488	11.173488	0.250000	0.250000	0.250000	0.250000	27.270974	
105000	-66.952166	305	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.562409	2.562409	2.562409	2.562409	2.562409	2.562409	2.562409	0.250000	0.250000	0.250000	0.250000	45.384961	
106000	-66.952305	608	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	40.013686	40.013686	40.013686	40.013686	40.013686	40.013686	40.013686	0.250000	0.250000	0.250000	0.250000	37.861862	
107000	-66.952305	690	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	21.533879	21.533879	21.533879	21.533879	21.533879	21.533879	21.533879	0.250000	0.250000	0.250000	0.250000	31.228333	
108000	-66.938344	393	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	4.941352	4.941352	4.941352	4.941352	4.941352	4.941352	4.941352	0.250000	0.250000	0.250000	0.250000	14.476087	
